Date,ACT,AUS,NSW,NT,QLD,SA,TAS,VIC,WA
2012-06-01,438,25253,8155,362,5299,1626,475,6112,2781
2012-07-01,488,25943,8366,352,5360,1720,509,6373,2772
2012-08-01,469,26418,8529,341,5432,1794,515,6507,2826
2012-09-01,465,25474,8332,313,5231,1681,495,6227,2726
2012-10-01,491,26930,8706,320,5391,1766,521,6805,2928
2012-11-01,435,25404,8266,304,5055,1737,480,6337,2787
2012-12-01,462,24940,7916,318,5064,1653,495,6278,2752
2013-01-01,450,26152,8443,360,5229,1708,524,6500,2937
2013-02-01,417,24122,7739,337,4965,1555,449,5892,2764
2013-03-01,477,26415,8294,328,5582,1766,521,6511,2934
2013-04-01,450,25130,7898,357,5234,1589,460,6316,2824
2013-05-01,449,26498,8506,366,5509,1749,506,6410,3000
2013-06-01,471,25014,7930,359,5241,1639,508,6132,2730
2013-07-01,471,25731,8085,331,5332,1688,502,6473,2849
2013-08-01,475,25513,7988,317,5413,1627,497,6406,2788
2013-09-01,454,25597,8244,315,5227,1663,490,6316,2883
2013-10-01,497,25946,8277,315,5199,1650,531,6556,2920
2013-11-01,488,24525,7804,329,4884,1606,498,6262,2653
2013-12-01,453,24878,7949,339,5027,1638,475,6219,2774
2014-01-01,475,25354,7676,319,5295,1784,517,6377,2910
2014-02-01,443,24838,7685,307,5237,1688,484,6181,2809
2014-03-01,486,26452,8235,379,5481,1789,500,6546,3032
2014-04-01,443,25617,7990,350,5379,1656,484,6328,2982
2014-05-01,487,25983,8202,370,5355,1695,512,6369,2989
2014-06-01,438,25022,8030,326,5124,1657,427,6171,2847
2014-07-01,500,26335,8350,334,5540,1738,482,6540,2849
2014-08-01,479,25557,8084,323,5177,1700,483,6482,2827
2014-09-01,483,26398,8437,317,5314,1690,514,6611,3031
2014-10-01,478,26809,8574,324,5330,1735,508,6879,2978
2014-11-01,452,24375,7822,316,4770,1592,441,6266,2713
2014-12-01,490,25214,8084,324,5039,1685,450,6268,2870
2015-01-01,472,25592,8270,347,5083,1598,483,6376,2960
2015-02-01,433,23704,7527,308,4837,1569,446,5791,2792
2015-03-01,483,26195,8136,408,5395,1669,505,6651,2945
2015-04-01,437,25021,7876,368,5190,1671,474,6133,2867
2015-05-01,487,25216,7979,367,5252,1620,441,6191,2874
2015-06-01,492,24960,7949,356,5116,1622,457,6212,2755
2015-07-01,484,26366,8353,335,5426,1725,498,6598,2947
2015-08-01,468,25616,8252,315,5096,1646,462,6495,2879
2015-09-01,471,26046,8330,314,5089,1659,466,6675,3040
2015-10-01,469,26034,8246,332,5052,1652,500,6829,2952
2015-11-01,453,24220,7813,292,4686,1545,422,6231,2778
2015-12-01,492,25240,8029,307,4879,1723,472,6491,2842
2016-01-01,479,25430,8003,332,5067,1638,477,6488,2944
2016-02-01,463,25413,8026,349,5067,1581,489,6423,3013
2016-03-01,514,27413,8667,353,5596,1746,529,6867,3138
2016-04-01,482,25962,8226,365,5260,1662,511,6448,3002
2016-05-01,476,26338,8476,359,5288,1624,537,6585,2988
2016-06-01,495,26065,8391,335,5319,1606,478,6453,2985
2016-07-01,522,25851,8370,310,5167,1641,485,6485,2868
2016-08-01,470,26077,8485,303,5136,1735,493,6527,2925
2016-09-01,488,26310,8334,345,5257,1639,506,6709,3026
2016-10-01,490,25727,8366,316,5032,1612,457,6495,2957
2016-11-01,447,24449,7861,313,4713,1542,472,6305,2794
2016-12-01,455,24578,7822,348,4717,1575,422,6435,2803
2017-01-01,504,25443,8285,336,4882,1642,471,6498,2824
2017-02-01,425,23548,7531,323,4550,1478,402,6129,2704
2017-03-01,476,26500,8497,335,5240,1716,481,6648,3106
2017-04-01,430,24540,7792,369,4978,1560,463,6206,2742
2017-05-01,467,25699,8146,367,5148,1598,491,6580,2897
2017-06-01,456,25167,8037,334,5130,1591,441,6236,2941
2017-07-01,455,25072,8241,299,5041,1558,429,6290,2758
2017-08-01,464,25911,8327,296,5171,1622,463,6722,2843
2017-09-01,476,25292,8224,297,4905,1641,494,6434,2818
2017-10-01,472,25266,8003,305,4749,1575,458,6863,2836
2017-11-01,437,24004,7709,286,4588,1496,445,6279,2760
2017-12-01,395,23887,7482,318,4620,1493,479,6330,2766
2018-01-01,448,25650,8284,321,5087,1662,460,6506,2878
2018-02-01,438,23503,7460,300,4761,1476,423,6009,2635
2018-03-01,439,25872,8261,346,5277,1606,491,6580,2872
2018-04-01,405,24233,7825,321,4860,1574,400,6100,2747
2018-05-01,451,25489,8188,367,5124,1510,448,6555,2842
2018-06-01,454,24605,7966,308,5064,1575,442,6157,2634
2018-07-01,426,25029,8241,315,4923,1527,431,6428,2736
2018-08-01,459,25293,8115,316,5004,1614,506,6525,2752
2018-09-01,435,24461,8068,273,4880,1504,446,6127,2723
2018-10-01,430,25436,8164,297,4918,1640,501,6665,2817
2018-11-01,420,24232,7819,314,4699,1522,452,6286,2715
2018-12-01,451,23886,7727,288,4591,1547,439,6275,2566
2019-01-01,440,24885,7983,308,4890,1561,487,6452,2763
2019-02-01,414,23410,7561,325,4667,1417,435,6038,2551
2019-03-01,491,25743,8294,325,5163,1636,480,6534,2818
2019-04-01,456,24799,7963,312,5118,1570,463,6217,2699
2019-05-01,456,26138,8357,312,5397,1562,504,6709,2839
2019-06-01,419,24172,7778,287,4850,1498,429,6183,2726
2019-07-01,460,25192,8052,290,5097,1565,502,6431,2794
2019-08-01,494,24805,7980,297,4900,1608,506,6361,2658
2019-09-01,484,24699,7979,293,4802,1591,467,6354,2726
2019-10-01,484,25775,8254,261,4966,1693,460,6749,2906
2019-11-01,423,23482,7632,277,4557,1423,465,6066,2637
2019-12-01,437,23358,7662,302,4493,1469,443,5982,2569
2020-01-01,459,24782,7966,318,4847,1571,474,6400,2746
2020-02-01,412,22968,7389,292,4561,1403,410,5926,2573
2020-03-01,465,25008,7848,325,5152,1608,494,6427,2686
2020-04-01,427,23949,7636,315,4915,1523,470,6072,2590
2020-05-01,441,24642,7822,320,5096,1542,473,6251,2694
2020-06-01,432,23994,7665,321,4988,1487,461,6015,2622
2020-07-01,466,24727,8013,346,5026,1525,509,6178,2663
2020-08-01,448,24187,7773,280,4845,1501,480,6272,2586
2020-09-01,424,24036,7788,280,4841,1475,427,6171,2630
2020-10-01,459,24066,7601,314,4703,1513,443,6407,2624
2020-11-01,421,22523,7301,253,4402,1436,459,5717,2531
2020-12-01,430,22997,7500,308,4539,1455,449,5813,2503
2021-01-01,472,25128,8060,349,4996,1696,489,6282,2782
2021-02-01,446,25144,7935,338,5026,1582,456,6573,2784
2021-03-01,512,27933,9012,342,5664,1735,525,7082,3059
2021-04-01,435,25880,8345,350,5347,1621,474,6429,2874
2021-05-01,441,26267,8476,355,5256,1678,498,6701,2859
2021-06-01,451,25607,8386,299,5259,1573,512,6311,2811
2021-07-01,452,25663,8323,301,5305,1548,492,6513,2727
2021-08-01,468,25061,8177,296,5152,1589,487,6213,2678
2021-09-01,474,25011,8042,271,5056,1559,494,6281,2834
2021-10-01,427,25392,8257,323,4959,1626,478,6483,2837
2021-11-01,466,23801,7732,283,4647,1521,517,5952,2678
2021-12-01,476,24338,7742,298,4742,1577,494,6289,2719
2022-01-01,457,24104,7707,319,4855,1563,464,6041,2696
2022-02-01,457,23284,7428,287,4693,1502,426,5934,2552
2022-03-01,484,25883,8396,349,5397,1678,488,6327,2763
2022-04-01,444,24137,7823,281,5080,1470,531,5949,2556
2022-05-01,425,24526,7701,282,5226,1586,452,6218,2633
2022-06-01,430,23533,7436,295,5045,1580,480,5784,2483
2022-07-01,416,23278,7453,307,4914,1505,491,5710,2479
2022-08-01,454,23285,7376,323,4896,1531,478,5607,2620
2022-09-01,406,22459,7095,263,4719,1582,445,5446,2496
2022-10-01,396,21029,6843,282,4482,1460,469,4872,2221
2022-11-01,361,16329,6232,238,3949,1274,392,2571,1310
2022-12-01,150,6144,3180,63,1707,608,177,137,122
